Title,URL
Spaghettieis: Germany's trick ice cream sundae — BBC,https://www.bbc.com/travel/article/20230811-spaghettieis-germanys-trick-ice-cream-sundae
Germany's 500-Year-Old Mite Cheese — Atlas Obscura,https://www.atlasobscura.com/articles/german-mite-cheese
Mayela's Gift: Unwrapping Pastillas de Leche — Serious Eats,https://web.archive.org/web/20210514113344/https://www.seriouseats.com/pastillas-de-leche-history-memory-5183920
Louis Roederer Bids Adieu to Conventional Viticulture — Modern Farmer,https://modernfarmer.com/2020/02/bidding-conventional-viticulture-practices-adieu/
The Sweet, Literary, Signature Beverage of Turin — Smart Mouth,https://smartmouth.substack.com/p/guinness-bicerin-turin-torino
Goodbye, 'Snack,' Hello Brotzeit — Smart Mouth,https://smartmouth.substack.com/p/the-germans-have-a-word-for-that
Three Perfect Days In and Around Munich — Thrillist,https://www.thrillist.com/travel/nation/things-to-do-munich-bavaria-germany
The Cheat Code for Traveling With Younger Kids — Thrillist,https://www.thrillist.com/travel/nation/off-season-travel-children
These Less Touristy Berlin Neighborhoods Have Parks, Bars, and No Crowds — Thrillist,https://www.thrillist.com/travel/nation/berlin-germany-best-neighborhoods
Dress Like a Local: What to Wear in Germany — Viator,https://www.viator.com/de-DE/blog/Dress-Like-a-Local-What-To-Wear-in-Germany/l99674
The Last Plane at Tegel Airport — Atlas Obscura,https://www.atlasobscura.com/articles/707-plane-tegel-airport-berlin
A New Berlin Wall Out of 8,000 Balloons for the Fall's 25th Anniversary — Fast Company,https://www.fastcompany.com/3038034/these-brothers-built-a-new-berlin-wall-out-of-8000-balloons-for-the-falls-25th-
How Do You Eradicate an Invasive Crayfish in Berlin? — Modern Farmer,https://modernfarmer.com/2019/08/how-do-you-eradicate-an-invasive-crayfish-in-berlin-crab-rolls-and-bouillabaisse/
Urban Foraging in Berlin Transcends Trends — Modern Farmer,https://modernfarmer.com/2019/05/rooted-in-a-history-of-world-war-ii-refugees-urban-foraging-in-berlin-transcends-trends/
A Eulogy for the Ultimate Dive Bar — Narratively,https://narratively.com/a-eulogy-for-the-ultimate-dive-bar/
If You're Obsessed With Being French, This Newsletter is Superbe — The Cut,https://www.thecut.com/2017/01/the-my-little-paris-newsletter-is-coming-to-america.html
A French Speaker Company Sets Up Shop in the Palais Garner — Vice,https://motherboard.vice.com/en_us/article/ne4vdx/a-french-speaker-company-just-set-up-shop-in-a-19th-century-opera-house
How H&M Is Trying to Balance Fast Fashion With Recycling — Fast Company,https://www.fastcompany.com/3065862/how-hm-is-trying-to-counteract-fast-fashion-with-revolutionary-recycling
The Days and Nights of Photographer Stephen Wilkes — Magenta,https://medium.com/p/the-days-and-nights-of-photographer-stephen-wilkes-ed8d70c250cd?source=email-6b5a40cab24a--writer.postDistributed&sk=c320bb5150e1c8e62b5eaf16701c47ae
This Trusty $13 Mascara Might as Well Be Chanel — The Strategist,http://nymag.com/strategist/article/bourjois-is-the-best-cheap-french-mascara-review.html
These On-Trend Puffy White Crop Tops Are Actually German Dirndl Blouses — The Strategist,https://nymag.com/strategist/2018/08/the-best-white-blouses-are-german-dirndls-on-amazon.html
I Think About Arnold Schwarzenegger's Mini-Horse a Lot — The Cut,https://www.thecut.com/2020/06/i-think-about-arnold-schwarzeneggers-mini-horse-a-lot.html
Pros and Cons to Having a Baby in Germany — Business Insider,https://www.businessinsider.com/american-in-berlin-giving-birth-maternity-care-raising-child-germany-2024-4
The Scourge of the Calendar App — Magenta,https://magenta.as/the-scourge-of-the-calendar-app-d4bc68c0d8f
Mayela the Brave — Narratively,https://narratively.com/mayela-the-brave/
Fire Island and the Summer of Pernod — Narratively,https://narratively.com/fire-island-and-the-summer-of-pernod/
Maestro's Oscar-Nominated Re-Recording Mixers on Building Emotion Without Music — The Credits,https://www.motionpictures.org/2024/02/maestro-oscar-nominated-re-recording-mixers-on-building-emotion-with-without-music/
Barbie Casting Directors Allison Jones and Lucy Bevans on Populating Barbieland — The Credits,https://www.motionpictures.org/2023/12/barbie-casting-directors-allison-jones-and-lucy-bevan-on-populating-barbie-land-2-2/
Mean Girls' Costume Designer Tom Broecker on Dressing the Plastics as Gen Z — The Credits,https://www.motionpictures.org/2024/01/mean-girls-costume-designer-tom-broecker-on-dressing-the-plastics-as-gen-z/
Napoleon's Production Designer and Set Decorator on Bringing Bonaparte's World to Life — The Credits,https://www.motionpictures.org/2023/12/napoleon-production-designer-arthur-max-and-set-decorator-elli-griff-on-bringing-bonapartes-world-to-life/
How Saltburn's Cinematographer Made a Liquid Painting for Emerald Fennell — The Credits,https://www.motionpictures.org/2023/12/saltburn-cinematographer-linus-sandgren-on-creating-a-fluid-painting-for-emerald-fennell/
Josephine Decker's New Film Tackles Motherhood and Mental Illness — Vice,https://www.vice.com/en/article/pamxjv/josephine-decker-madelines-madeline-miranda-july-helena-howard
Our Obsession With Wealth and Youth is Making Us All Soulless and Insane — Vice,https://www.vice.com/en/article/kzpxbw/generation-wealth-lauren-greenfield-documentary-interview
Beales Reels Revealed — The East Hampton Star,https://www.easthamptonstar.com/archive/beales-reels-revealed
